author,date,text
SAHR41617817,2020-03-06 05:03:18,"@Hawkeravenger Francamente puedo pasar por alto lo de degenerado en tanto hagan la pega, dicho eso, este gusano es… https://t.co/02MurtDnKD"
ILedexma,2020-03-06 05:03:23,"@SenadoresdelPAN Sus cables de primaria pública JAJAJAJAJ 
#MontajePanista #MONTAJEDELPAN 
#EspionajeALaOposicion… https://t.co/lZC9mm02B0"
ajim43,2020-03-06 05:03:29,"RT @gerard_pelayo: No sé si ya subieron este video pero lo dejo por acá, el paco hdp se burla de una mujer y quienes han perdido un ojo #Pa…"
guicabello1,2020-03-06 05:03:35,"RT @PrimeraLinea9: Que paso con esas agrupaciones sindicales que se colgaron del estallido social para ser oídos y reunirse con Mr 6%?? 
Cu…"
Al14710769,2020-03-06 05:03:37,RT @Antonietamille: #gonzalodelacarrera y tú fijación con los niños y la sexualidad... pedofilo encubierto? A este enfermo hay que ponerle…
issuesjoseph_,2020-03-06 05:03:41,RT @camila_vallejo: Esos fantasmas sólo habitan la cabeza de esos degenerados. Yo que él me hago ver
AnaLlul,2020-03-06 05:03:44,RT @jlvaldivieso96: Fundacion Nueva Mente. Eso lo explica todo. https://t.co/78ycvQ6M9c
PPitune,2020-03-06 05:03:45,"RT @HalunkeValnor: La derecha siempre ha encubierto la pederastia, ejemplo #ColoniaDignidad:
""después de ducharlos Schäfer escogía a un niñ…"
matias_b17,2020-03-06 05:03:55,Que mierda teni que tener en la cabeza para dar un ejemplo tan enfermizo como ese weon.
kattekent,2020-03-06 05:04:17,RT @Pablolegend78: Una vecina con su bebé de 5 meses fueron a comprar para la once y los bastardos sin gloria @Carabdechile tienen toda LO…
Norgia6,2020-03-06 05:04:24,"Tu lo dijiste eran muchos analfabetos en esa epoca
Ahora son mas o menos?
Yo creo que son mas los analfabetos de me… https://t.co/Z8P40pwROs"
EmmaMaldonado12,2020-03-06 05:04:24,RT @AnaMariaGazmuri: Locura total!!! Están tan desesperados los que se niegan a una #NuevaConstitucionParaChile que inventan cualquier locu…
RodrigoEstayS,2020-03-06 05:04:26,RT @cortanews: ⚠️ AYER. El degenerado empresario @LehuedeJuan (cercano a JAK) inventa sin descaro que el Apruebo significa que “las niñas d…
RoLovelyz,2020-03-06 05:04:26,"RT @luisingermanico: Andrés Espinoza,  UDI: Violador y asesino de la pequeña Ambar.

Matías Müller, hijo de Pepa Hoffman y Gonzalo Müller,…"
RoxanaBocca,2020-03-06 05:04:27,RT @NemesisLeClair: Ojalá la gente no sepa que mañana la diputada Camila Flores y José Antonio Kast se juntan con sus amigos fascistoides a…
camioneromunoz,2020-03-06 05:04:30,RT @Antonietamille: #gonzalodelacarrera y tú fijación con los niños y la sexualidad... pedofilo encubierto? A este enfermo hay que ponerle…
patokuada,2020-03-06 05:04:32,"RT @Bol_Sonarg: Militância=Funcionário de deputado apoiando o deputado

Isso vindo de um filho da puta que só tem uma faminha mixuruca feit…"
cuncunga1,2020-03-06 05:04:45,RT @RebecaGaeteS: La ultraderecha en Radio Agricultura inventó un nuevo eje en la campaña del terror: si votan Apruebo los niños van a perv…
Haydeemirgen80,2020-03-06 05:04:53,"RT @FunaoYeta: Notable señora 👏👏👏👏
#degenerado @PiensaPrensa @Chileokulto @GAMBA_CL @GatoDelPueblo https://t.co/kw6U3qkPbu"
inzrchild,2020-03-06 05:05:01,#HoyVieneAlbaReche #degenerado #ChavezEternoComandante #ateskes https://t.co/oIOlHLzg8U
IvanaSabaj,2020-03-06 05:05:04,RT @carcosmorales: En un país serio este hombre se va preso.
vitocovergara,2020-03-06 05:05:09,RT @camila_vallejo: Esos fantasmas sólo habitan la cabeza de esos degenerados. Yo que él me hago ver
Naxo005,2020-03-06 05:05:10,RT @Florencia_Jack: ⛔️#degenerado  son el Aprueb0 y las marchas de las feminazis frente a la U. Católica metentiendose consoladores y cualq…
javieralch,2020-03-06 05:05:14,"RT @gonzalowinter: Venir ir a meter tus perversiones en la discusión sobre el apruebo y el rechazo, habla de que no tienes argumentos y de…"
